A hears from B (WJ from CH),,,,,,,,,,,,,,
Number, Packet Number, Received Time, Interval Between Receive,,,,,,,,,,,
0,8,1.195,,,,,,,,,,,,
1,13,2.14,0.937,,,,,,,,,,,
2,22,5.953,3.812,,,,,,,,,,,
3,26,7.265,1.32,,,,,,,,,Interval,Number,Probability
4,31,9.125,1.851,,,,,,,,,2,32,0.653061224
5,36,10.382,1.257,,,,,,,,,4,40,0.816326531
6,41,11.968,1.585,,,,,,,,,6,45,0.918367347
7,45,12.593,0.625,,,,,,,,,8,48,0.979591837
8,48,13.117,0.523,,,,,,,,,10,48,0.979591837
9,51,14.039,0.906,,,,,,,,,12,49,1
10,52,14.125,0.093,,,,,,,,,,,
11,66,19.57,5.437,,,,,,,,,,,
12,76,24.07,4.5,,,,,,,,,,,
13,81,26.07,2,,,,,,,,,,,
14,90,27.96,1.898,,,,,,,,,,,
15,95,30.234,2.265,,,,,,,,,,,
16,96,30.328,0.093,,,,,,,,,,,
17,113,37.07,6.742,,,,,,,,,,,
18,114,37.156,0.101,,,,,,,,,,,
19,141,43.734,6.562,,,,,,,,,,,
20,143,44.82,1.085,,,,,,,,,,,
21,144,45.203,0.382,,,,,,,,,,,
22,145,45.218,0.015,,,,,,,,,,,
23,157,50.015,4.796,,,,,,,,,,,
24,158,50.085,0.07,,,,,,,,,,,
25,159,50.531,0.429,,,,,,,,,,,
26,164,51.656,1.125,,,,,,,,,,,
27,171,54.562,2.906,,,,,,,,,,,
28,173,55.093,0.539,,,,,,,,,,,
29,175,55.429,0.328,,,,,,,,,,,
30,178,56.695,1.265,,,,,,,,,,,
31,191,62.179,5.484,,,,,,,,,,,
32,196,63.312,1.132,,,,,,,,,,,
33,197,63.476,0.164,,,,,,,,,,,
34,205,67.14,3.664,,,,,,,,,,,
35,206,67.21,0.07,,,,,,,,,,,
36,216,70.265,3.054,,,,,,,,,,,
37,219,72.164,1.898,,,,,,,,,,,
38,223,73.343,1.179,,,,,,,,,,,
39,236,77.007,3.664,,,,,,,,,,,
40,242,78.882,1.875,,,,,,,,,,,
41,265,90.21,11.312,,,,,,,,,,,
42,274,92.679,2.468,,,,,,,,,,,
43,275,92.953,0.273,,,,,,,,,,,
44,288,98.398,5.445,,,,,,,,,,,
45,291,100.015,1.617,,,,,,,,,,,
46,310,107.671,7.656,,,,,,,,,,,
47,312,108.781,1.109,,,,,,,,,,,
48,319,111.265,2.484,,,,,,,,,,,
49,322,112.078,0.812,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Number, Packet Number, Received Time, Interval Between Receive,,,,,,,,,,,
0,2,0.578,0,,,,,,,,,,,
1,3,1.585,1.007,,,,,,,,,,,
2,7,2.554,0.953,,,,,,,,,,,
3,23,7.664,5.109,,,,,,,,,,,
4,29,9.546,1.882,,,,,,,,,,,
5,31,9.812,0.265,,,,,,,,,,,
6,33,10.789,0.992,,,,,,,,,,,
7,38,12.437,1.632,,,,,,,,,,,
8,42,13.101,0.664,,,,,,,,,,,
9,43,13.531,0.437,,,,,,,,,,,
10,47,14.523,1,,,,,,,,,,,
11,77,26.476,11.937,,,,,,,,,,,
12,81,28.359,1.89,,,,,,,,,,,
13,88,30.718,2.351,,,,,,,,,,,
14,98,33.546,2.812,,,,,,,,,,,
15,109,37.546,4,,,,,,,,,,,
16,124,43.546,5.976,,,,,,,,,,,
17,133,45.281,1.734,,,,,,,,,,,
18,136,45.687,0.421,,,,,,,,,,,
19,149,50.484,4.781,,,,,,,,,,,
20,154,51.015,0.515,,,,,,,,,,,
21,160,53.648,2.632,,,,,,,,,,,
22,163,54.984,1.335,,,,,,,,,,,
23,164,55.054,0.085,,,,,,,,,,,
24,166,55.578,0.507,,,,,,,,,,,
25,168,55.921,0.359,,,,,,,,,,,
26,185,62.601,6.664,,,,,,,,,,,
27,187,63.687,1.085,,,,,,,,,,,
28,189,63.89,0.203,,,,,,,,,,,
29,190,63.953,0.078,,,,,,,,,,,
30,201,67.609,3.64,,,,,,,,,,,
31,211,70.64,3.031,,,,,,,,,,,
32,218,72.664,2.031,,,,,,,,,,,
33,224,73.867,1.195,,,,,,,,,,,
34,236,79.226,5.359,,,,,,,,,,,
35,237,79.257,0.031,,,,,,,,,,,
36,267,90.632,11.375,,,,,,,,,,,
37,275,93.367,2.734,,,,,,,,,,,
38,302,103.398,10.031,,,,,,,,,,,
39,326,111.757,8.359,,,,,,,,,,,
40,334,114.039,2.281,,,,,,,,,,,
41,335,114.054,0.015,,,,,,,,,,,
42,342,115.375,1.32,,,,,,,,,,,
43,350,118.101,2.726,,,,,,,,,,,
44,356,119.945,1.843,,,,,,,,,,,
45,365,123.062,3.117,,,,,,,,,,,
46,371,124.945,1.882,,,,,,,,,,,
47,375,126.968,2.023,,,,,,,,,,,
48,390,134.085,7.117,,,,,,,,,,,
49,403,139.039,4.953,,,,,,,,,,,
